temperature,humidity,solar_radiation,wind_speed,initial_moisture,fish_thickness,fish_type,drying_rate
32.5,55,850,3.2,78,2.0,tilapia,5.2
28.3,68,720,2.1,75,2.5,catfish,3.8
35.2,45,950,4.0,80,1.8,mackerel,6.5
30.0,60,800,2.5,76,2.2,tilapia,4.5
33.8,52,880,3.5,77,2.0,sardine,5.8
27.5,72,650,1.8,74,3.0,catfish,3.2
36.0,48,1000,4.2,81,1.5,mackerel,7.2
29.2,65,750,2.8,75,2.4,tilapia,4.0
31.5,58,820,3.0,79,2.1,salmon,4.8
34.0,50,920,3.8,78,1.9,mackerel,6.0
26.8,75,600,1.5,73,3.2,catfish,2.8
37.2,42,1050,4.5,82,1.6,sardine,7.8
30.5,62,780,2.6,76,2.3,tilapia,4.2
32.0,54,860,3.3,77,2.0,salmon,5.5
28.0,70,680,2.0,74,2.8,catfish,3.5
